date	profile	gate	fw_sha256	patch_sha256	config_sha256	notes
2026-06-11T16:23:44+00:00	test-nf	vendor-ref	148baa25c3db17148047e2ca970b62b0a7a75b960b4762ea20f045b7977cff76	8606bdfaf6d42d9d16c26b4c97ec9630120607a77859c6af836e9857d5039e1f	6c28a3f07c6a30ed208c4b64862a23f02b7d93543ea980edd24df16bab45095f	NeoPC 2026-06-11 sanity FC20+HCI+connect
2026-06-11T16:23:44+00:00	libre-hybrid-E4C	connect	c184b3ea1e447b7d99bf4376ec5443a73833650992f90885088d9a49d72219d7	8606bdfaf6d42d9d16c26b4c97ec9630120607a77859c6af836e9857d5039e1f	6c28a3f07c6a30ed208c4b64862a23f02b7d93543ea980edd24df16bab45095f	2026-06-11 retest 2nd try audio low
2026-06-11T20:42:58+00:00	p4-libre	hci	62198d8c1c530133ba76e848676a730f988e38a0ca4b0d5e10d0291f0494ee55	0dd17a5cd78b04468e96f3beee18726291474762d7062d18f70c94125dc966d0	6c28a3f07c6a30ed208c4b64862a23f02b7d93543ea980edd24df16bab45095f	fn_c09c fix; FC20+HCI PASS; connect page-timeout x4
2026-06-11T22:19:17+00:00	p4-inject-tail-e4c	connect	e91bce4ced5270f86b9e14d783e22bdaab930688b6d0e9eb2c1ef2eb8673ceed	0dd17a5cd78b04468e96f3beee18726291474762d7062d18f70c94125dc966d0	6c28a3f07c6a30ed208c4b64862a23f02b7d93543ea980edd24df16bab45095f	vendor tail control; Connected yes first try
